ORGANISMO / CONSEJERÍA;CENTRO GESTOR;ID OPTE CENTRO DE GASTO;CENTRO DE GASTO;CÓDIGO INTERNO;ID OPTE CENTRO DE CONSUMO;CENTRO DE CONSUMO;TIPO DE CENTRO DE CONSUMO;C.I.F.;DIRECCIÓN;SUPERFICIE CONSTRUIDA;OCUPACIÓN;CUPs E;CUPs GN;GSL;TIPO DE CENTRO A NIVEL DE ADMINISTRACIÓN AUTONÓMICA;CÓDIGO MUNICIPIO DIRECCIÓN;MUNICIPIO DIRECCIÓN;COORDENADA X LONGITUD;COORDENADA Y LATITUD;REFERENCIA CATASTRAL 1;REFERENCIA CATASTRAL 2;REFERENCIA CATASTRAL 3;REFERENCIA CATASTRAL 4;REFERENCIA CATASTRAL 5;REFERENCIA CATASTRAL 6;REFERENCIA CATASTRAL 7;Posición
05 - SANIDAD;0524 - GRS (GAP);82;05228002 - G.A.P. VALLAD. ESTE;;2579;C.S. CANTERAC;CENTRO DE SALUD SIN URGENCIAS;Q4727004F;AV DE SEGOVIA,23 47013 VALLADOLID (VALLADOLID);4423;29;1;1;;CENTROS DE SALUD;47186;VALLADOLID;-4.720751236;41.64261527;6817110UM5161F0001FZ;;;;;;;41.64261527, -4.720751236
05 - SANIDAD;0524 - GRS (GAP);82;05228002 - G.A.P. VALLAD. ESTE;;668;C.S. ISCAR;CENTRO DE SALUD CON URGENCIAS;Q4727004F;CL RONDA S/N  47420 ISCAR (VALLADOLID);1195;28;2;;;CENTROS DE SALUD;47075;ÍSCAR;-4.532305946;41.36119819;2001001UL7820S0001KB;;;;;;;41.36119819, -4.532305946
05 - SANIDAD;0524 - GRS (GAP);82;05228002 - G.A.P. VALLAD. ESTE;;669;C.S. LA VICTORIA;CENTRO DE SALUD SIN URGENCIAS;Q4727004F;PS JARDIN BOTANICO  11 47009 VALLADOLID (VALLADOLID);3764;32;2;1;;CENTROS DE SALUD;47186;VALLADOLID;-4.73514293;41.66824481;5747405UM5154F0001HX;;;;;;;41.66824481, -4.73514293
05 - SANIDAD;0524 - GRS (GAP);82;05228002 - G.A.P. VALLAD. ESTE;;670;C.S. MAGDALENA;CENTRO DE SALUD SIN URGENCIAS;Q4727004F;CL NUESTRA SEÑORA 2 47011 VALLADOLID (VALLADOLID);490;22;1;1;;CENTROS DE SALUD;47186;VALLADOLID;-4.715033;41.66;7336201UM5173E0058OM;;;;;;;41.66, -4.715033
05 - SANIDAD;0524 - GRS (GAP);82;05228002 - G.A.P. VALLAD. ESTE;;682;C.S. PILARICA/ C.S. CIRCULAR;CENTRO DE SALUD SIN URGENCIAS;Q4727004F;CL DR. MONTERO 2  47005 VALLADOLID (VALLADOLID);2788;65;1;1;;CENTROS DE SALUD;47186;VALLADOLID;-4.714384798;41.6503921;7326546UM5172E0001AP;;;;;;;41.6503921, -4.714384798
05 - SANIDAD;0524 - GRS (GAP);82;05228002 - G.A.P. VALLAD. ESTE;;678;C.S. TORTOLA;CENTRO DE SALUD SIN URGENCIAS;Q4727004F;CL PELICANO 19 47012 VALLADOLID (VALLADOLID);1838;36;1;1;;CENTROS DE SALUD;47186;VALLADOLID;-4.709025011;41.64519174;7820016UM5172B0001IY;;;;;;;41.64519174, -4.709025011
05 - SANIDAD;0524 - GRS (GAP);86;05229001 - G.A.P. ZAMORA;;724;CS  BENAVENTE;CENTRO DE SALUD SIN URGENCIAS;Q4919003F;C/ RÍO CEA, 1 49600 BENAVENTE (ZAMORA);1979;39;1;1;;CENTROS DE SALUD;49021;BENAVENTE;-5.68134196251941;42.0060748568816;8041601TM7584S0001UU;;;;;;;42.0060748568816, -5.68134196251941
05 - SANIDAD;0524 - GRS (GAP);86;05229001 - G.A.P. ZAMORA;;711;CS  LA GUAREÑA;CENTRO DE SALUD CON URGENCIAS;Q4919003F;C/ ARRABAL DE SAN PEDRO, S/N 49400 FUENTESAUCO (ZAMORA);1250;21;1;;1;CENTROS DE SALUD;49081;FUENTESAÚCO;-5.499214052;41.23232388;0677901TL6907N0001WA;;;;;;;41.23232388, -5.499214052
05 - SANIDAD;0524 - GRS (GAP);86;05229001 - G.A.P. ZAMORA;;704;CS BENAVENTE SUR;CENTRO DE SALUD CON URGENCIAS;Q4919003F;C/ FRAY TORIBIO DE MOTOLIMIA, 2  49600 BENAVENTE (ZAMORA);1400;40;1;1;;CENTROS DE SALUD;49021;BENAVENTE;-5.675241;42.002576;8537302TM7583N0001TT;;;;;;;42.002576, -5.675241
05 - SANIDAD;0524 - GRS (GAP);86;05229001 - G.A.P. ZAMORA;;706;CS CAMPOS LAMPREANA;CENTRO DE SALUD CON URGENCIAS;Q4919003F;C/ SANTA TERESA  Nº 60 49137 VILLARRIN DE CAMPOS (ZAMORA);303;16;1;;1;CENTROS DE SALUD;49268;VILLARRÍN DE CAMPOS;-5.639279;41.797864;0908501TM8300N0001ZH;;;;;;;41.797864, -5.639279
05 - SANIDAD;0524 - GRS (GAP);86;05229001 - G.A.P. ZAMORA;;709;CS PUERTA NUEVA;CENTRO DE SALUD SIN URGENCIAS;Q4919003F;RONDA DE LA PUERTA NUEVA, 6  49002 ZAMORA (ZAMORA);2600;31;1;1;;CENTROS DE SALUD;49275;ZAMORA;-5.740671;41.501603;1383302TL7908N0001HJ;;;;;;;41.501603, -5.740671
05 - SANIDAD;0525 - G.E. SANITARIAS;88;05220002 - G.E. SANITARIAS;;3722;"ALMACÉN DE EMERGENCIAS SANITARIAS ""LA VICTORIA""";ALMACÉN;Q4777005B;CALLE SAN SEBASTÍAN Nº 3 47009 VALLADOLID (VALLADOLID);200;;1;;;C. ADMINISTRATIVOS;47186;VALLADOLID;-4.732464;41.663838;6042706UM5164A0003FY;;;;;;;41.663838, -4.732464
07 - EDUCACIÓN;0701 - S. G. EDUCACION;21;07010001 - S. G. EDUCACION;;294;MONASTERIO DE NUESTRA SEÑORA DEL PRADO;EDIFICIO ADMINISTRATIVO;S4711001J;AV MONASTERIO NUESTRA SEÑORA DEL PRADO VALLADOLID (VALLADOLID);12382;500;1;1;;C. ADMINISTRATIVOS;47186;VALLADOLID;-4.74652534;41.64004788;4715101UM5141F0001QD;;;;;;;41.64004788, -4.74652534
07 - EDUCACIÓN;0701 - S. G. EDUCACION;22;07011001 - DP DE EDUCACIÓN AV;;343;DIRECCIÓN PROVINCIAL EDUCACIÓN AVILA;EDIFICIO ADMINISTRATIVO;S4711001J;CL ALFONSO X EL SABIO Nº 4 BAJO 4 05001 ÁVILA (ÁVILA);;;1;;;C. ADMINISTRATIVOS;05019;ÁVILA;-4.68678;40.654617;7419003UL5071N0001YI;;;;;;;40.654617, -4.68678
07 - EDUCACIÓN;0701 - S. G. EDUCACION;23;07012001 - DP DE EDUCACIÓN BU;;339;CONSEJERÍA EDUCACION BURGOS;EDIFICIO ADMINISTRATIVO;S4711001J;AV CANTABRIA 2- BAJO LO01 09006 BURGOS (BURGOS);771;;1;;;C. ADMINISTRATIVOS;09059;BURGOS;-3.69231;42.354923;3787611VM4838N0297PS;;;;;;;42.354923, -3.69231
07 - EDUCACIÓN;0701 - S. G. EDUCACION;25;07014001 - DP DE EDUCACIÓN PA;;337;DIRECCIÓN PROVINCIAL DE EDUCACIÓN PALENCIA;EDIFICIO ADMINISTRATIVO;S4711001J;AV CASTILLA 85 34005 PALENCIA (PALENCIA);2496;68;1;1;;C. ADMINISTRATIVOS;34120;PALENCIA;-4.531963479;42.00553636;3117501UM7531N0001HP;;;;;;;42.00553636, -4.531963479
07 - EDUCACIÓN;0701 - S. G. EDUCACION;28;07017001 - DP DE EDUCACIÓN SO;;338;DIRECCIÓN PROVINCIAL DE EDUCACIÓN DE SORIA;EDIFICIO ADMINISTRATIVO;S4711001J;CL SANTA TERESA JESUS S/N SORIA (SORIA);2010;50;1;;;C. ADMINISTRATIVOS;42173;SORIA;-2.473421;41.759912;3836003WM4233N0001ML;;;;;;;41.759912, -2.473421
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;1;07021001 - DP DE EDUCACIÓN AV;05000294;23;CIFP LAS FERRERÍAS;INSTITUTO DE EDUCACION SECUNDARIA;S0500015C;AV DE LOURDES NUMERO 2 05400 ARENAS DE SAN PEDRO (ÁVILA);5689;291;1;1;;C. EDUCATIVOS;05014;ARENAS DE SAN PEDRO;-5.085196;40.21038;;;;;;;;40.21038, -5.085196
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;1;07021001 - DP DE EDUCACIÓN AV;05004846;30;CLAUDIO SANCHEZ ALBORNOZ AVILA;INSTITUTO DE EDUCACION SECUNDARIA;Q0568071E;CL JUAN RAMON JIMENEZ 5 - PRAL 05270 TIEMBLO (EL) (ÁVILA);4206;219;1;;;C. EDUCATIVOS;05241;TIEMBLO (EL);-4.497427;40.412688;3250011UK7734N0001KK;;;;;;;40.412688, -4.497427
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;1;07021001 - DP DE EDUCACIÓN AV;05009871;5811;IES DE ARENAS DE SAN PEDRO;INSTITUTO DE EDUCACION SECUNDARIA;Q0500422A;C/ FRAY LUIS DE LEÓN, 1, 05400 ARENAS DE SAN PEDRO (ÁVILA);;;1;1;1;C. EDUCATIVOS;05014;ARENAS DE SAN PEDRO;-5.084731;40.20697;2830503UK1838N0001ML;;;;;;;40.20697, -5.084731
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;1;07021001 - DP DE EDUCACIÓN AV;05005577;35;TOMÁS LUIS DE VICTORIA;CONSERVATORIO DE MÚSICA;Q0568197H;CL AVDA. ESPAÑA  S/N 05004 ÁVILA (ÁVILA);4227;411;2;1;;C. EDUCATIVOS;05019;ÁVILA;-4.666521;40.64514;8731909UL5083S0001MI;;;;;;;40.64514, -4.666521
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;1;07021001 - DP DE EDUCACIÓN AV;05006430;42;VALLE DEL ALBERCHE;INSTITUTO DE EDUCACION SECUNDARIA;Q0568240F;PZ DOCTOR MIGUEL TOLEDANO 4 - BAJO 1 05100 NAVALUENGA (ÁVILA);4194;245;1;;1;C. EDUCATIVOS;05163;NAVALUENGA;-4.70447;40.41138;5551001UK5755S0001IR;;;;;;;40.41138, -4.70447
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;1;07021001 - DP DE EDUCACIÓN AV;05006478;43;VILLA DE SOTILLO;INSTITUTO DE EDUCACION SECUNDARIA OBLIGATORIA;Q0500359E;CL MARTIRES 134 05420 SOTILLO DE LA ADRADA (ÁVILA);3130;252;1;;1;C. EDUCATIVOS;05240;SOTILLO DE LA ADRADA;-4.591217;40.288879;4813402UK6641S0001RI;;;;;;;40.288879, -4.591217
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09008809;72;CAMPOS DE AMAYA;INSTITUTO DE EDUCACION SECUNDARIA;S0918260A;CL BUENOS AIRES S/N 09120 VILLADIEGO (BURGOS);4368;84;1;;1;C. EDUCATIVOS;09427;VILLADIEGO;-4.004216;42.5172;7578428VN1077N0001XD;;;;;;;42.5172, -4.004216
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09003605;54;CASTELLA VETULA;INSTITUTO DE EDUCACION SECUNDARIA;S0918276G;PS DE LA VIRGEN  5 09500 MEDINA DE POMAR (BURGOS);5004;420;1;;1;C. EDUCATIVOS;09209;MEDINA DE POMAR;-3.48353;42.927322;0731104VN6503S0001EP;;;;;;;42.927322, -3.48353
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09008998;75;CONDE SANCHO GARCÍA;INSTITUTO DE EDUCACION SECUNDARIA OBLIGATORIA;S0918238G;CL EL SOL 51 09560 ESPINOSA DE LOS MONTEROS (BURGOS);1477;79;1;;1;C. EDUCATIVOS;09124;ESPINOSA DE LOS MONTEROS;-3.55656;43.081226;4600602VN5740S0001QL;;;;;;;43.081226, -3.55656
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;;1017;"E.E.I. ""SANTA MARÍA LA MAYOR""";CENTRO DE EDUACIÓN INFANTIL;S4711001J;ALFONSO XI, S/N 09006 BURGOS (BURGOS);1699;;1;1;;C. EDUCACIÓN INFANCIA;09059;BURGOS;-3.674592;42.353768;4595001VM4849N0001JR;;;;;;;42.353768, -3.674592
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09007751;61;ENRIQUE FLÓREZ;INSTITUTO DE EDUCACION SECUNDARIA;S0918285H;CL MADRID 20 09002 BURGOS (BURGOS);5029;617;2;1;;C. EDUCATIVOS;09059;BURGOS;-3.700966;42.336898;2375002VM4827N0001GI;;;;;;;42.336898, -3.700966
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09004142;55;FRAY PEDRO DE URBINA;INSTITUTO DE EDUCACION SECUNDARIA;S0918355I;AV REPÚBLICA ARGENTINA 2 09200 MIRANDA DE EBRO (BURGOS);13242;612;1;1;;C. EDUCATIVOS;09219;MIRANDA DE EBRO;-2.94569289;42.68176171;4657001WN0245N0001JQ;;;;;;;42.68176171, -2.94569289
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09008652;71;HIPÓLITO RUIZ LÓPEZ;INSTITUTO DE EDUCACION SECUNDARIA;S0918245B;AV BURGOS 7 09250 BELORADO (BURGOS);4032;172;1;1;;C. EDUCATIVOS;09048;BELORADO;-3.192104;42.418587;4264301VM8946S0001SF;;;;;;;42.418587, -3.192104
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09001682;50;IES CARDENAL LÓPEZ DE MENDOZA;INSTITUTO DE EDUCACION SECUNDARIA;S0918253F;PZ LUIS MARTÍN SANTOS S/N 09002 BURGOS (BURGOS);10958;1450;1;1;;C. EDUCATIVOS;09059;BURGOS;-3.70398893291765;42.3367199295527;2276014VM4827N0001JI;;;;;;;42.3367199295527, -3.70398893291765
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09012163;79;LA FLORA;CIFP;S0900010J;CL ARCO DE PILAR 9 09003 BURGOS (BURGOS);2338;210;1;1;;C. EDUCATIVOS;09059;BURGOS;-3.7019569072038;42.3429593245637;2383025VM4828S0001OP;;;;;;;42.3429593245637, -3.7019569072038
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;3;07022001 - DP DE EDUCACION BU;09012126;77;SIMÓN DE COLONIA;CIFP;S0900009B;CL FRANCISCO DE VITORIA S/N 09006 BURGOS (BURGOS);4324;384;1;1;;C. EDUCATIVOS;09059;BURGOS;-3.687936;42.352937;3694003VM4839S0001OI;;;;;;;42.352937, -3.687936
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24017679;112;ÁNGEL BARJA;CONSERVATORIO DE MÚSICA;Q2468141C;PLAZA MAGISTERIO, S/N. 24700 ASTORGA (LEÓN);4020;182;1;;1;C. EDUCATIVOS;24008;ASTORGA;-6.059463;42.456135;1948806QH4014N0001QE;;;;;;;42.456135, -6.059463
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24018738;121;ASTURA;INSTITUTO DE EDUCACION SECUNDARIA OBLIGATORIA;Q2400540G;CAMINO CARROLEÓN S/N 24210 MANSILLA DE LAS MULAS (LEÓN);1852;95;1;;1;C. EDUCATIVOS;24094;MANSILLA DE LAS MULAS;-5.41526;42.4976;1982701UN0018S0001HS;;;;;;;42.4976, -5.41526
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24018222;118;BEATRIZ OSSORIO;INSTITUTO DE EDUCACION SECUNDARIA;Q2418008E;CALLE CORRUMBÍN, 28-30 24420 FABERO (LEÓN);5335;299;2;;1;C. EDUCATIVOS;24070;FABERO;-6.628562;42.77007;4583070PH9348S0001DG;;;;;;;42.77007, -6.628562
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24016559;5999;CEPA RAMÓN CARNICER;CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS;Q2468068H;CL EMBALSE DE BÁRCENA Nº 4 PONFERRADA (LEÓN);881;;;1;;C. EDUCATIVOS;24115;PONFERRADA;-6.6002049;42.5523872;;;;;;;;42.5523872, -6.6002049
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24022195;127;CIFP TECNOLÓGICO INDUSTRIAL;CIFP;Q2400577I;C/ PROFESOR GASPAR MOROCHO Nº 1 BAJO 24007 LEÓN (LEÓN);6076;452;1;1;;C. EDUCATIVOS;24089;LEÓN;-5.559677952;42.60771902;0105401TN9200N0001BG;;;;;;;42.60771902, -5.559677952
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24017369;108;CRISTÓBAL HALFFTER;CONSERVATORIO DE MÚSICA;Q2468589C;CALLE RONDA NORTE, Nº 1 24400 PONFERRADA (LEÓN);3765;340;1;1;;C. EDUCATIVOS;24115;PONFERRADA;-6.613584;42.555549;6348703PH9164N0001FY;;;;;;;42.555549, -6.613584
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24000990;84;EL SEÑOR DE BEMBIBRE;INSTITUTO DE EDUCACION SECUNDARIA;Q2468127B;CALLE PRADOLUENGO, S/N 24300 BEMBIBRE (LEÓN);6240;258;1;;1;C. EDUCATIVOS;24014;BEMBIBRE;-6.416532;42.619037;1919501QH1211N0001TK;;;;;;;42.619037, -6.416532
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24017916;116;EUROPA;INSTITUTO DE EDUCACION SECUNDARIA;Q2468552A;CL RAMÓN GONZÁLEZ ALEGRE 2 24400 PONFERRADA (LEÓN);6450;640;1;;1;C. EDUCATIVOS;24115;PONFERRADA;-6.610318674;42.5483585;6336902PH9163N0001FS;;;;;;;42.5483585, -6.610318674
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24018544;120;FERNANDO I;INSTITUTO DE EDUCACION SECUNDARIA;Q2468601F;AVENIDA CONSTITUCION, 15 24200 VALENCIA DE DON JUAN (LEÓN);8089;475;2;1;1;C. EDUCATIVOS;24188;VALENCIA DE DON JUAN;-5.519001;42.299309;2562215TM9826S0001QP;;;;;;;42.299309, -5.519001
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24016584;104;FUENTESNUEVAS;INSTITUTO DE EDUCACION SECUNDARIA;Q2468070D;CALLE LA DEHESA, 31 24411 FUENTES NUEVAS (LEÓN);5732;911;1;;1;C. EDUCATIVOS;24115;PONFERRADA;-6.641918991;42.57287191;3662602PH9136S0001QD;;;;;;;42.57287191, -6.641918991
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24006037;89;JUAN DEL ENZINA;INSTITUTO DE EDUCACION SECUNDARIA;Q2468027D;AVENIDA RAMON Y CAJAL, 2 24002 LEÓN (LEÓN);6200;1052;2;1;;C. EDUCATIVOS;24089;LEÓN;-5.571527;42.598659;9197601TN8199N0001PE;;;;;;;42.598659, -5.571527
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24017497;110;LANCIA;INSTITUTO DE EDUCACION SECUNDARIA;Q2468132B;CALLE EGIDO QUINTIN, S/N 24006 LEÓN (LEÓN);6127;576;1;;1;C. EDUCATIVOS;24089;LEÓN;-5.558286;42.594013;0192909TN9109S0001ZP;;;;;;;42.594013, -5.558286
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24018787;125;PABLO DÍEZ;INSTITUTO DE EDUCACION SECUNDARIA;Q2400543A;CALLE ESCUELAS, 48 24850 BOÑAR (LEÓN);2360;122;1;;1;C. EDUCATIVOS;24021;BOÑAR;-5.317707;42.866959;0889001UN1408N0001KO;;;;;;;42.866959, -5.317707
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24009610;96;RAMIRO II;INSTITUTO DE EDUCACION SECUNDARIA;Q2468511G;CARRETERA DE LA MAGDALENA, S/N 24640 ROBLA (LA) (LEÓN);7631;262;1;1;1;C. EDUCATIVOS;24134;ROBLA (LA);-5.630302;42.804132;4825502TN8442N0001UJ;;;;;;;42.804132, -5.630302
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24002494;86;SANTA MARÍA DE CARRIZO;INSTITUTO DE EDUCACION SECUNDARIA;Q2468321A;CL DOCTOR GONZALEZ ALVAREZ  Nº 10 24270 CARRIZO DE LA RIBERA (CAPITAL) (LEÓN);4178;281;1;;;C. EDUCATIVOS;24039;CARRIZO;-5.824114;42.583403;8385401TN6188N0001BR;;;;;;;42.583403, -5.824114
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24010995;97;VALLES DEL LUNA;INSTITUTO DE EDUCACION SECUNDARIA;Q2468051D;CALLE LEPANTO, S/N 24240 SANTA MARIA DEL PARAMO (LEÓN);5977;256;1;;1;C. EDUCATIVOS;24157;SANTA MARÍA DEL PÁRAMO;-5.748098;42.355877;3924015TM7932S0001TL;;;;;;;42.355877, -5.748098
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24000679;83;VÍA DE LA PLATA;INSTITUTO DE EDUCACION SECUNDARIA;Q2468123A;PASEO GENERAL BENAVIDES, 51 24750 BAÑEZA (LA) (LEÓN);6038;395;2;;1;C. EDUCATIVOS;24010;BAÑEZA (LA);-5.90889;42.30713;0482005TM6808S0001TM;;;;;;;42.30713, -5.90889
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;4;07023001 - DP DE EDUCACION LE;24008411;95;VIRGEN DE LA ENCINA;INSTITUTO DE EDUCACION SECUNDARIA;Q2468452D;CALLE GÓMEZ NÚÑEZ, 57 24402 PONFERRADA (LEÓN);10918;1670;1;;1;C. EDUCATIVOS;24115;PONFERRADA;-6.600552437;42.55194022;7140101PH9174S0001UK;;;;;;;42.55194022, -6.600552437
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;3400126;6521;C.R.I.E. CERVERA DE PISUERGA;CENTRO RURAL DE INNOVACION EDUCATIVA;S3400000J;C/ FELIPE CALVO, S/N 34840 CERVERA DE PISUERGA (PALENCIA);2644;118;;1;;C. EDUCATIVOS;34056;CERVERA DE PISUERGA;;;8069925UN7486N0001GP;;;;;;;
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;;1024;"E.E.I. ""APENINOS""";CENTRO DE EDUACIÓN INFANTIL;S4711001J;AVDA. DE SANTANDER, 2 34880 GUARDO (PALENCIA);1037;;1;1;;C. EDUCACIÓN INFANCIA;34080;GUARDO;-4.83864;42.789009;9590624UN4399S0001RO;;;;;;;42.789009, -4.83864
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;;1027;"E.E.I. ""VIRGEN DEL CARMEN""";CENTRO DE EDUACIÓN INFANTIL;S4711001J;NTRA. SRA. DE ROCAMADOR, 12 34002 PALENCIA (PALENCIA);562;;1;1;;C. EDUCACIÓN INFANCIA;34120;PALENCIA;-4.527087;42.00545;3616401UM7531N0001DP;;;;;;;42.00545, -4.527087
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;34001911;134;I.E.S. ALONSO BERRUGUETE;INSTITUTO DE EDUCACION SECUNDARIA;Q3468029H;AVENIDA PONCE DE LEON Nº 2 34005 PALENCIA (PALENCIA);8469;750;1;1;;C. EDUCATIVOS;34120;PALENCIA;-4.532958178;42.00473645;3016801UM7531N0001IP;;;;;;;42.00473645, -4.532958178
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;34007159;130;I.E.S. GUARDO;INSTITUTO DE EDUCACION SECUNDARIA;Q3400167G;CALLE RÍO EBRO, S/N 34880 GUARDO (PALENCIA);7068;540;2;1;1;C. EDUCATIVOS;34080;GUARDO;-4.846055;42.791439;8493901UN4389S001AT;9095908UN4399N0001FQ;;;;;;42.791439, -4.846055
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;34003919;143;I.E.S. LA OJEDA-BOEDO;INSTITUTO DE EDUCACION SECUNDARIA OBLIGATORIA;Q3400143H;CALLE CHILE, 2 34400 HERRERA DE PISUERGA (PALENCIA);2171;121;1;;;C. EDUCATIVOS;34083;HERRERA DE PISUERGA;-4.333438;42.595723;0669905UN9106N0001DP;;;;;;;42.595723, -4.333438
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;34003890;141;I.E.S. MONTAÑA PALENTINA;INSTITUTO DE EDUCACION SECUNDARIA OBLIGATORIA;Q3468161I;CALLE FELIPE CALVO, 1-3 34840 CERVERA DE PISUERGA (PALENCIA);5371;94;1;;;C. EDUCATIVOS;34056;CERVERA DE PISUERGA;-4.494933;42.863196;8069925UN7486N0001GP;;;;;;;42.863196, -4.494933
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;34000581;129;I.E.S. SEM TOB;INSTITUTO DE EDUCACION SECUNDARIA;Q3468050D;AVENIDA DE LOS PEREGRINOS, S/N 34120 CARRION DE LOS CONDES (PALENCIA);4383;298;1;;1;C. EDUCATIVOS;34047;CARRIÓN DE LOS CONDES;-4.598475;42.337452;8487802UM6888N0001QF;;;;;;;42.337452, -4.598475
07 - EDUCACIÓN;0702 - D.G. CENTROS, PLANI, ORD EDUCA;5;07024001 - DP DE EDUCACION PA;34001893;132;I.E.S. TRINIDAD ARROYO;INSTITUTO DE EDUCACION SECUNDARIA;Q3468080A;CALLE FILIPINOS, S/N 34004 PALENCIA (PALENCIA);8456;873;1;2;;C. EDUCATIVOS;34120;PALENCIA;-4.521332862;42.00137308;4112601UM7541S0001IX;;;;;;;42.00137308, -4.521332862
